zcta,under_100_FPL,less_12_education,non_employment,renting,crowded,single_parent_family,no_vehicle_households
731,0.56208649,0.311292719,0.612626656,0.222731906,0.059633028,0.102154828,0.182212029
735,0.415997836,0.213560941,0.47988677,0.264525272,0.022437411,0.182957393,0.127066604
736,0.384418874,0.210203962,0.487644774,0.363359124,0.008810075,0.220853648,0.149488903
738,0.415239812,0.156441023,0.486397495,0.301395192,0.024205749,0.219483871,0.133719953
739,0.400329585,0.210159917,0.516994713,0.335319697,0.016105653,0.164663189,0.126912546
740,0.584070796,0.195814649,0.412532637,0.479108635,0.015320334,0.494252874,0.140668524
741,0.499307287,0.19515721,0.51417004,0.17264574,0.043348281,0.079569892,0.102391629
745,0.360352498,0.200005707,0.445793752,0.272486447,0.035054214,0.154705935,0.119085757
751,0.497845712,0.243774211,0.538055143,0.231390728,0.022781457,0.238543628,0.144768212
754,0.457128764,0.268620359,0.533732067,0.281577372,0.037189464,0.191814083,0.172702784
757,0.463991616,0.167775262,0.473699963,0.202172097,0.010999722,0.230901657,0.112781955
765,0.540675692,0.277214559,0.587122736,0.313650307,0.064800613,0.181989924,0.144171779
766,0.426825375,0.211923077,0.542251999,0.230532787,0.035604508,0.189611271,0.122310451
767,0.491693488,0.250010952,0.546196641,0.288617886,0.036161924,0.194571284,0.144732385
769,0.502685975,0.178230922,0.5287118,0.234534064,0.016992952,0.188888889,0.125998434
771,0.391984416,0.20253904,0.524985461,0.232674897,0.02436214,0.174579222,0.103786008
772,0.52178687,0.263136751,0.571598282,0.365480649,0.04463171,0.268899744,0.233146067
773,0.453085233,0.201275745,0.516736965,0.302352941,0.036323529,0.175326162,0.148970588
775,0.235194585,0.167487685,0.298804781,0.384787472,0.098434004,0.195454545,0.241610738
777,0.37614825,0.203779786,0.47698711,0.270667164,0.026313828,0.248051401,0.086619456
778,0.319682303,0.162450203,0.404623212,0.229784367,0.022237197,0.1773549,0.101617251
780,0.3975608,0.218573409,0.48196347,0.118016321,0.012764177,0.192624038,0.116760829
782,0.53328323,0.268335788,0.5501868,0.444550487,0.016797099,0.211605081,0.188394732
783,0.458356591,0.246173885,0.544505972,0.244970194,0.037071535,0.164286617,0.127701192
784,0.480895522,0.211772456,0.60780093,0.295666831,0.017627642,0.213694092,0.143057799
786,0.564935065,0.6796875,0.592920354,0,0,0,0.76744186
791,0.365067693,0.196172804,0.527028445,0.253389881,0.035003883,0.160382464,0.147840631
794,0.497744468,0.218420259,0.538192356,0.322623829,0.030232039,0.202878992,0.099955377
